1,2019,1,9,5.4
2,2019,1,9,6
3,2019,1,9,4.3
4,2019,1,9,3.3
5,2019,1,9,5.3
6,2019,1,9,3.3
1,2019,2,9,1.3
2,2019,2,9,3.3
3,2019,2,9,2.3
4,2019,2,9,4.3
5,2019,2,9,5.1
6,2019,2,9,9
1,2020,3,9,10
2,2020,3,9,11.3
3,2020,3,9,5.3
4,2020,3,9,5.3
5,2020,3,9,5.3
6,2020,3,9,5.3
1,2020,4,9,5.3
2,2020,4,9,5.3
3,2020,4,9,5.3
4,2020,4,9,5.3
5,2020,4,9,5.3
6,2020,4,9,5.3
1,2020,5,9,5.3
2,2020,5,9,5.3
3,2020,5,9,5.3
4,2020,5,9,5.3
5,2020,5,9,5.3
6,2020,5,9,5.3
1,2020,6,9,5.3
2,2020,6,9,5.3
3,2020,6,9,5.3
4,2020,6,9,5.3
5,2020,6,9,5.3
6,2020,6,9,5.3
1,2020,7,9,5.3
2,2020,7,9,5.3
3,2020,7,9,5.3
4,2020,7,9,5.3
5,2020,7,9,5.3
6,2020,7,9,5.3
1,2020,8,9,5.3
2,2020,8,9,5.3
3,2020,8,9,5.3
4,2020,8,9,5.3
5,2020,8,9,5.3
6,2020,8,9,5.3
1,2020,9,9,5.3
2,2020,9,9,5.3
3,2020,9,9,5.3
4,2020,9,9,5.3
5,2020,9,9,5.3
6,2020,9,9,5.3
1,2020,10,9,5.3
2,2020,10,9,5.3
3,2020,10,9,5.3
4,2020,10,9,5.3
5,2020,10,9,5.3
6,2020,10,9,5.3
1,2020,11,9,5.3
2,2020,11,9,5.3
3,2020,11,9,5.3
4,2020,11,9,5.3
5,2020,11,9,5.3
6,2020,11,9,5.3
1,2020,12,9,5.3
2,2020,12,9,5.3
3,2020,12,9,5.3
4,2020,12,9,5.3
5,2020,12,9,5.3
6,2020,12,9,5.3
